group,ndc_code
fidaxomicin,52015008001
vancomycin,65628020105
vancomycin,65628020110
vancomycin,65628020010
vancomycin,65628020107
vancomycin,65628020005
vancomycin,66593312502
vancomycin,66593312602
vancomycin,47781072902
vancomycin,47781072950
vancomycin,68180016613
vancomycin,47781073002
vancomycin,17478074102
vancomycin,47781073050
vancomycin,66993021019
vancomycin,62559039020
vancomycin,00002312542
vancomycin,66993021119
vancomycin,00002312642
vancomycin,00591356015
vancomycin,17478074202
vancomycin,68180016713
vancomycin,00591356115
vancomycin,62559039050
vancomycin,62559039120
vancomycin,63323033820
vancomycin,00121086720
vancomycin,63323033920
vancomycin,62559039150
vancomycin,00121086750
vancomycin,62559031020
vancomycin,47781072901
vancomycin,00121089020
vancomycin,47781073001
vancomycin,62559031120
vancomycin,00121089050
vancomycin,63323033822
vancomycin,63323033922
vancomycin,68180016611
vancomycin,62559083055
vancomycin,62559083080
vancomycin,62559083003
vancomycin,00002510516
vancomycin,00002237237
vancomycin,00002510501
vancomycin,59911587502
vancomycin,65628020605
vancomycin,65628020405
vancomycin,65628020510
vancomycin,65628020810
vancomycin,65628001605
fidaxomicin,52015070022
vancomycin,54569642400
vancomycin,63629197001
vancomycin,63629197101
vancomycin,63629197201
vancomycin,65628001610
vancomycin,68180016711
vancomycin,70004098089
